time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1956-09-01,43.708333225,-79.375002465,13.49,15.30,17.21,13.49,15.30,17.21,13.49,15.30,17.21
1956-10-01,43.708333225,-79.375002465,7.15,9.31,11.82,7.15,9.31,11.82,7.15,9.31,11.82
1956-11-01,43.708333225,-79.375002465,1.95,4.03,5.91,1.95,4.03,5.91,1.95,4.03,5.91
1956-12-01,43.708333225,-79.375002465,-5.51,-2.09,0.70,-5.51,-2.09,0.70,-5.51,-2.09,0.70
1957-01-01,43.708333225,-79.375002465,-8.60,-5.73,-1.51,-8.60,-5.73,-1.51,-8.60,-5.73,-1.51
1957-02-01,43.708333225,-79.375002465,-7.88,-3.64,0.12,-7.88,-3.64,0.12,-7.88,-3.64,0.12
1957-03-01,43.708333225,-79.375002465,-2.76,-1.06,1.85,-2.76,-1.06,1.85,-2.76,-1.06,1.85
1957-04-01,43.708333225,-79.375002465,4.04,6.77,8.62,4.04,6.77,8.62,4.04,6.77,8.62
1957-05-01,43.708333225,-79.375002465,11.02,12.26,15.41,11.02,12.26,15.41,11.02,12.26,15.41
1957-06-01,43.708333225,-79.375002465,16.42,18.41,20.95,16.42,18.41,20.95,16.42,18.41,20.95
1957-07-01,43.708333225,-79.375002465,19.62,21.06,22.69,19.62,21.06,22.69,19.62,21.06,22.69
1957-08-01,43.708333225,-79.375002465,18.65,19.92,22.36,18.65,19.92,22.36,18.65,19.92,22.36
1957-09-01,43.708333225,-79.375002465,14.50,16.07,17.71,14.50,16.07,17.71,14.50,16.07,17.71
1957-10-01,43.708333225,-79.375002465,7.52,9.54,10.95,7.52,9.54,10.95,7.52,9.54,10.95
1957-11-01,43.708333225,-79.375002465,2.98,4.68,6.60,2.98,4.68,6.60,2.98,4.68,6.60
1957-12-01,43.708333225,-79.375002465,-5.16,-1.67,0.75,-5.16,-1.67,0.75,-5.16,-1.67,0.75
1958-01-01,43.708333225,-79.375002465,-7.25,-4.17,-0.99,-7.25,-4.17,-0.99,-7.25,-4.17,-0.99
1958-02-01,43.708333225,-79.375002465,-7.02,-3.89,-1.64,-7.02,-3.89,-1.64,-7.02,-3.89,-1.64
1958-03-01,43.708333225,-79.375002465,-3.57,0.97,2.68,-3.57,0.97,2.68,-3.57,0.97,2.68
1958-04-01,43.708333225,-79.375002465,4.32,6.34,8.57,4.32,6.34,8.57,4.32,6.34,8.57
1958-05-01,43.708333225,-79.375002465,10.76,12.11,14.05,10.76,12.11,14.05,10.76,12.11,14.05
1958-06-01,43.708333225,-79.375002465,16.09,18.15,20.20,16.09,18.15,20.20,16.09,18.15,20.20
